,qiymət,şəhər,marka,model,rəng,mühərrik_sm³,yanacaq_növü,sürətlər_qutusu,kuzov_növü,buraxılış_ili,yürüş_km
96,13 800 AZN,Bakı,Hyundai,H-1,Ağ,2500,Dizel,Mexaniki,Mikroavtobus,2009,300000
97,17 500 AZN,Bakı,Mercedes,E 240,Gümüşü,2600,Benzin,Avtomat,Sedan,2000,286000
98,5 900 AZN,Bakı,LADA (VAZ),Priora,Ağ,1600,Benzin,Mexaniki,Sedan,2012,125000
99,6 200 AZN,Tərtər,LADA (VAZ),2107,Ağ,1600,Benzin,Mexaniki,Sedan,2005,42000
100,3 300 AZN,Gəncə,LADA (VAZ),2110,Qırmızı,1500,Benzin,Mexaniki,Sedan,1998,123500
101,5 500 AZN,Bakı,Daewoo,Nexia,Ağ,4600,Benzin,Mexaniki,Sedan,1997,405000
102,11 590 AZN,Bakı,Opel,Astra,Qırmızı,1400,Benzin,Mexaniki,Hetçbek,2006,181000
103,28 800 AZN,Bakı,KIA,Sorento,Qara,1800,Dizel,Avtomat,Offroader/SUV,2009,200000
104,26 800 AZN,Gəncə,KIA,Sorento,Gümüşü,2000,Dizel,Avtomat,Offroader/SUV,2011,230000
105,35 400 AZN,Bakı,Toyota,Corolla,Mavi,1600,Benzin,Avtomat,Sedan,2019,67000
106,7 400 AZN,Bakı,Mercedes,C 230,Ağ,2300,Benzin,Avtomat,Sedan,1998,245000
107,11 200 AZN,Bakı,Mercedes,C 200,Yaş Asfalt,2000,Benzin,Avtomat,Sedan,1999,355
108,11 000 AZN,Bakı,KIA,Rio,Göy,150,Dizel,Mexaniki,Hetçbek,2006,303000
109,22 500 AZN,Bakı,KIA,Cerato,Ağ,2000,Benzin,Avtomat,Sedan,2017,84000
110,10 900 AZN,Bakı,Hyundai,Sonata,Bənövşəyi,2000,Benzin,Avtomat,Sedan,2015,123427
111,11 400 AZN,Bakı,Opel,Meriva,Ağ,1300,Dizel,Mexaniki,Universal,2007,153000
112,8 300 AZN,Bakı,Gaz,3221,Boz,2400,Benzin,Mexaniki,Pikap,1998,47288
113,13 000 AZN,Bakı,KIA,Cee`d,Göy,1600,Dizel,Mexaniki,Hetçbek,2008,357888
114,2 650 AZN,Göygöl,LADA (VAZ),2101,Ağ,1300,Benzin,Mexaniki,Sedan,1984,563214
115,10 500 AZN,Bakı,Ssang Yong,Rexton,Qara,2700,Dizel,Avtomat,Offroader/SUV,2005,221800
116,4 000 AZN,Bakı,Daewoo,Nexia,Gümüşü,1500,Benzin,Mexaniki,Sedan,2007,250000
117,40 000 AZN,Bakı,Mercedes,ML 350,Qara,3500,Dizel,Avtomat,Offroader/SUV,2010,250000
118,2 800 AZN,Bakı,LADA (VAZ),2106,Sarı,1500,Benzin,Mexaniki,Sedan,1987,150000
119,4 200 AZN,Xaçmaz,LADA (VAZ),2109,Yaşıl,1500,Benzin,Mexaniki,Hetçbek,1990,2500
120,7 500 AZN,Qusar,LADA (VAZ),2115,Qızılı,1596,Benzin,Mexaniki,Sedan,2007,218905
121,14 300 AZN,Bakı,KIA,Cee`d,Qəhvəyi,1600,Dizel,Mexaniki,Universal,2007,237449
122,9 900 AZN,Bakı,Opel,Astra,Gümüşü,1300,Dizel,Mexaniki,Universal,2006,256000
123,11 000 AZN,Bakı,Chevrolet,Cruze,Qara,1400,Benzin,Mexaniki,Sedan,2014,20200
124,3 100 AZN,Şirvan,LADA (VAZ),2106,Mavi,1300,Benzin,Mexaniki,Sedan,1984,254125
125,2 500 AZN,Şirvan,LADA (VAZ),Oka,Ağ,150,Benzin,Mexaniki,Sedan,2004,153000
126,3 650 AZN,Bakı,Mercedes,190,Qırmızı,200,Benzin,Mexaniki,Sedan,1990,397000
127,2 600 AZN,Bakı,LADA (VAZ),2105,Ağ,1600,Benzin,Mexaniki,Sedan,1982,321564
128,2 100 AZN,Bakı,LADA (VAZ),2106,Bej,1500,Benzin,Mexaniki,Sedan,1984,154685
129,6 700 AZN,Bakı,LADA (VAZ),2106,Yaşıl,1600,Benzin,Mexaniki,Sedan,2004,78500
130,17 000 AZN,Bakı,Toyota,Prius,Göy,1800,Benzin,Avtomat,Sedan,2011,290000
131,3 699 AZN,Bakı,LADA (VAZ),2109,Ağ,1500,Benzin,Mexaniki,Hetçbek,1990,1000
132,4 600 AZN,Bakı,Mercedes,E 200,Gümüşü,200,Dizel,Mexaniki,Sedan,1992,236666
133,11 200 AZN,Bakı,Peugeot,1007,Göy,1400,Benzin,Avtomat,Kupe,2006,119000
134,7 200 AZN,Bakı,Renault,Megane,Qırmızı,115,Dizel,Mexaniki,Universal,2007,512000
135,4 600 AZN,Biləsuvar,LADA (VAZ),2107,Ağ,1600,Benzin,Mexaniki,Offroader/SUV,2004,74397
136,27 500 AZN,Bakı,Land Rover,Discovery,Qara,3200,Dizel,Avtomat,Offroader/SUV,2008,30000
137,22 000 AZN,Bakı,Mercedes,E 220,Ağ,2200,Dizel,Avtomat,Universal,2008,378000
138,11 500 AZN,Bakı,Hyundai,Accent,Mavi,1400,Benzin,Mexaniki,Sedan,2007,219000
139,7 200 AZN,Bakı,Mercedes,C 200,Göy,200,Benzin,Mexaniki,Sedan,1997,213333
140,24 800 AZN,Bakı,Hyundai,Sonata,Yaş Asfalt,200,Benzin,Avtomat,Sedan,2014,148640
141,3 350 AZN,Bakı,ZAZ,968M,Qırmızı,1200,Benzin,Mexaniki,Sedan,1989,9999
142,10 700 AZN,Bakı,Opel,Astra,Bej,1400,Benzin,Mexaniki,Hetçbek,2005,235000
143,6 000 AZN,Xırdalan,Tofas,Sahin,Gümüşü,1600,Benzin,Mexaniki,Sedan,2004,250000
144,14 000 AZN,Bakı,Khazar,D5,Ağ,1700,Benzin,Mexaniki,Sedan,2022,40000
145,5 800 AZN,Bakı,LADA (VAZ),Niva,Ağ,80,Benzin,Mexaniki,Offroader/SUV,2013,129619
146,4 900 AZN,Lənkəran,LADA (VAZ),2115,Gümüşü,1600,Benzin,Mexaniki,Sedan,2004,229000
147,12 500 AZN,Bakı,Infiniti,G35,Ağ,3500,Benzin,Avtomat,Sedan,2007,215000
148,4 300 AZN,Bakı,Iran Khodro,Azsamand,Sarı,1800,Benzin,Mexaniki,Sedan,2006,345678
149,5 700 AZN,Bakı,Opel,Vita,Tünd qırmızı,1400,Benzin,Avtomat,Hetçbek,1999,275000
150,7 000 AZN,Gəncə,LADA (VAZ),2110,Qara,1600,Benzin,Mexaniki,Sedan,2006,350000
151,8 700 AZN,Bakı,Volkswagen,Passat,Boz,1800,Benzin,Avtomat,Sedan,2004,22900
152,35 000 AZN,Bakı,LADA (VAZ),2109,Qırmızı,1500,Benzin,Mexaniki,Hetçbek,1991,555555
153,4 900 AZN,Şəki,LADA (VAZ),2107,Göy,150,Benzin,Mexaniki,Sedan,2006,95000
154,15 000 AZN,Bakı,Mercedes,S 350,Ağ,3500,Benzin,Avtomat,Sedan,2003,388
155,3 800 AZN,Şəmkir,LADA (VAZ),2101,Bej,1200,Benzin,Mexaniki,Sedan,1979,30000
156,2 200 AZN,Qax,Daewoo,Nexia,Ağ,1500,Benzin,Mexaniki,Sedan,1997,300000
157,6 000 AZN,Sumqayıt,LADA (VAZ),2110,Göy,1500,Benzin,Mexaniki,Sedan,2004,300000
158,10 500 AZN,Bakı,Opel,Astra,Qızılı,1400,Benzin,Mexaniki,Hetçbek,2006,188000
159,11 300 AZN,Zaqatala,LADA (VAZ),Priora,Ağ,300,Benzin,Mexaniki,Sedan,2013,19700
160,7 700 AZN,Bakı,Mercedes,S 320,Gümüşü,320,Benzin,Avtomat,Sedan,2001,360000
161,5 000 AZN,Mingəçevir,Hyundai,Accent,Ağ,1600,Benzin,Avtomat,Sedan,2003,322033
162,4 500 AZN,Lənkəran,LADA (VAZ),2106,Bej,1500,Benzin,Mexaniki,Sedan,1993,838521
163,42 500 AZN,Bakı,Jeep,Grand Cherokee,Ağ,3600,Benzin,Avtomat,Offroader/SUV,2014,212000
164,4 800 AZN,Sumqayıt,LADA (VAZ),2107,Ağ,1600,Benzin,Mexaniki,Sedan,2004,524756
165,2 300 AZN,Bakı,Mercedes,190,Ağ,2000,Benzin,Avtomat,Sedan,1990,300000
166,9 500 AZN,Saatlı,Renault,Megane,Mavi,1600,Benzin,Mexaniki,Sedan,2009,20000
